消防單位,區,詳細地址
大隊部,板橋,華江七路56號
板橋中隊,板橋,重慶路293號6樓
海山中隊,板橋,民生路二段臨56-2號
莒光,板橋,華江七路56號
新板,板橋,民族路57號
板橋,板橋,重慶路293號
大觀,板橋,大觀路一段38巷臨1-3號
海山,板橋,英士路151號
民生,板橋,民生路二段臨56-2號
溪崑,板橋,篤行路二段135號
大隊部,新莊,中正路170號5樓
新莊中隊,新莊,中原路512號4樓
五泰林中隊,泰山,明志路二段188號3樓
五工,新莊,五工路97巷5號
裕民,新莊,裕民街136號
福營,新莊,福營路279號
新莊,新莊,中正路170號1樓
中港,新莊,中原路512號
頭前,新莊,幸福東路7號
五股,五股,工商路1號
更寮,五股,中興路二段83巷26-6號
泰山,泰山,明志路二段188號
林口,林口,西林里中山路137號
文化,林口,文化三路1段302號
大隊部,蘆洲,長榮路792號6樓
三重中隊,三重,中興北街225號
蘆洲中隊,蘆洲,中山一路415號5樓
淡水中隊,淡水,中正東路一段125號
三重,三重,正義南路107號2樓
鷺江,蘆洲,長榮路792號
蘆洲,蘆洲,中山一路415號
重陽,三重,重陽路一段123號
二重,三重,中興北街225號
八里,八里,中山路二段76號
龍源,八里,龍源里龍米路一段225號
淡水,淡水,新生街29號
竹圍,淡水,中正東路一段125號
三芝,三芝,埔頭里中山路一段10號
滬尾,淡水,中正路207號
大隊部,新店,北新路一段98號5樓
新店中隊,新店,安康路三段2號4樓
文山中隊,深坑,文山路1段35號4樓
深坑,深坑,文山路1段35號1樓
新店,新店,北新路1段98號
直潭,新店,直潭十街25號
安康,新店,安康路三段2號
安和,新店,安和路3段3號
石碇,石碇,碇坪路1段81號
坪林,坪林,坪碇路6號2樓
雪山,坪林,坪雙路1段56號
烏來,烏來,烏來里環山路51號
大隊部,三峽,隆恩街249號4樓
三鶯中隊,三峽,隆恩街247號3樓
樹林中隊,樹林,環漢路5段50號4樓
土城中隊,土城,金城路1段90號3樓
三峽,三峽,中正路1段46號
隆恩,三峽,隆恩街247號
土城,土城,金城路一段90號
清水,土城,青雲路35號
頂埔,土城,中興路10號
樹林,樹林,環漢路五段50號
樹潭,樹林,俊保路160號
柑園,樹林,柑園街一段60號
鶯歌,鶯歌,建國路420號
鳳鳴,鶯歌,鳳鳴路162號
大隊部,汐止,福德一路236號6樓
瑞芳中隊,瑞芳,中正路30號2樓
金山中隊,金山,南勢54號
汐止中隊,汐止,忠孝東路1-1號
社后,汐止,福德一路236號
汐止,汐止,大同路三段469號
長青,汐止,永春一路4號
橫科,汐止,橫科路119號
瑞芳,瑞芳,中正路30號
瑞亭,瑞芳,大埔路176號
九份,瑞芳,崙頂路1-5號
金山,金山,南勢54號
石門,石門,中山路64-1號
萬里,萬里,瑪鋉路223號
雙溪,雙溪,共和里中山路45號
貢寮,貢寮,東興街2號
平溪,平溪,靜安路二段289號
保長,汐止,大同路三段469號
大隊部,中和,中山路二段64巷11號
中和中隊,中和,中山路二段64巷11號
永和中隊,永和,永利路72-1號4樓
永和,永和,警光街1-1號
永利,永和,永利路72-1號
永平,永和,環河西路二段177-1號1樓
中和,中和,中山路二段64巷11號
員山,中和,中正路1163號
南勢,中和,南山路236號
國光,中和,莒光路170號
大隊部,板橋,南雅南路二段15號
南雅,板橋,南雅南路二段15號
慈福,三重,溪尾街301號
德音,五股,明德路8號
秀峰,汐止,忠孝東路1-1號
大埔,三峽,中正路2段492號
,,
,,
